"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"1","Joel Embiid","Phi","C-F","29","55","35","37.3","14.5","654","0.856","959","0.574","169","0.355","0.567","0.65","33.5","10.2","4.1","1.1","1.7","3.5","43.6","37.5","47.7","12.8","123.6","103.7"
"2","Luka Doncic","Dal","F-G","24","57","36.3","38.2","14.3","629","0.736","804","0.586","453","0.349","0.563","0.613","33","8.6","8","1.5","0.5","3.7","41.6","41","49.6","14.5","120.6","108.2"
"3","Damian Lillard","Por","G","32.7","55","36.3","33.8","13.5","517","0.919","518","0.573","625","0.376","0.568","0.647","32.3","4.7","7.3","0.9","0.3","3.2","37","39.5","44.2","11.4","127.7","116.3"
"4","Giannis Antetokounmpo","Mil","F","28.3","55","32.4","39.1","16.1","700","0.651","979","0.582","155","0.284","0.561","0.599","31.4","11.9","5.5","0.7","0.8","3.9","43.3","36.9","48.8","15.7","116.1","99.7"
"5","Shai Gilgeous-Alexander","Okc","G-F","24.7","59","35.6","32.7","12.4","627","0.906","1050","0.533","148","0.351","0.533","0.626","31.3","4.8","5.5","1.7","1","2.9","36","36.8","41.6","10.5","124.6","109.7"
"6","Stephen Curry","Gol","G","35","44","34.8","31","14.2","234","0.915","376","0.59","505","0.44","0.63","0.673","30.1","6.2","6.3","1","0.4","3.3","36.3","36.4","42.5","12.1","124.4","111.6"
"7","Jayson Tatum","Bos","F-G","25","65","37.4","32.8","12.1","544","0.86","779","0.547","613","0.347","0.536","0.6","30.1","9","4.7","1","0.8","2.9","39.1","34.9","43.8","11.6","117.7","107.5"
"8","Kevin Durant","Bro","F","34.5","39","36","31.5","15.6","285","0.937","545","0.622","189","0.376","0.607","0.674","29.7","6.7","5.3","0.8","1.5","3.5","36.4","35","41.7","11.3","122.3","110.6"
"9","LeBron James","Lal","F","38.2","47","36.1","33.2","12.2","295","0.759","735","0.588","325","0.308","0.549","0.583","29.5","8.4","6.9","0.9","0.6","3.1","38","36.5","44.9","13.2","115","110.3"
"10","Devin Booker","Pho","G","26.4","43","34.5","32","11","263","0.84","623","0.544","262","0.366","0.546","0.593","27.6","4.5","5.6","0.9","0.4","2.5","32.1","33.2","37.7","10.3","118.5","109.2"
"11","Kyrie Irving","Dal","G","31","11","37.9","28.1","10.2","54","0.944","124","0.581","87","0.414","0.597","0.645","27.5","5.1","6.6","1.2","0.4","2.2","32.6","34.2","39.3","10.3","129.3","110.7"
"12","Donovan Mitchell","Cle","G","26.5","60","35.7","31.7","11.5","308","0.873","656","0.563","563","0.38","0.566","0.609","27.5","4.1","4.7","1.5","0.4","2.7","31.6","32.2","36.3","9.1","118.1","106.9"
"13","Kyrie Irving","Bro","G","31","40","36.9","29.8","10","179","0.883","471","0.569","348","0.374","0.565","0.604","27.1","5.1","5.3","1","0.8","2.3","32.2","32.4","37.5","9.8","117.9","111.6"
"14","Ja Morant","Mem","G","23.6","53","32.5","35.4","14.1","453","0.744","825","0.512","269","0.316","0.502","0.555","27.1","6","8.2","1.1","0.2","3.4","33.1","35.3","41.3","13.5","114.5","108.8"
"15","Trae Young","Atl","G","24.5","62","35","33.2","17.1","532","0.891","814","0.486","408","0.336","0.492","0.576","27","3","10.1","1.1","0.1","4.1","30.1","37.1","40.1","10.7","116.6","117.1"
"16","Jaylen Brown","Bos","G-F","26.4","58","36.2","31.3","12.7","317","0.776","760","0.575","426","0.338","0.551","0.585","26.8","6.9","3.3","1.2","0.4","3","33.7","30.1","37","9.4","110.3","106.8"
"17","Kevin Durant","Pho","F","34.5","3","32.7","24.1","12.4","17","0.882","29","0.759","13","0.538","0.774","0.808","26.7","7.3","3.7","0.3","1.3","2","34","30.3","37.7","11","145","110.7"
"18","Mikal Bridges","Bro","F","26.5","15","34.6","28.4","8.3","98","0.888","174","0.529","90","0.444","0.576","0.637","26.1","4.7","2.7","1","0.8","1.6","30.8","28.7","33.5","8","123.2","114"
"19","Anthony Davis","Lal","F-C","30","44","33.5","29","11.7","339","0.805","697","0.588","67","0.269","0.572","0.628","26.1","12.6","2.5","1","2.1","2.3","38.7","28.6","41.2","11.2","123.7","104.7"
"20","Zion Williamson","Nor","F","22.7","29","33","30.3","17.4","248","0.714","450","0.618","19","0.368","0.615","0.652","26","7","4.6","1.1","0.6","3.4","33","30.6","37.6","11.4","120.3","108.9"
"21","De'Aaron Fox","Sac","G","25.2","62","34.1","30","12.5","391","0.775","840","0.579","305","0.334","0.558","0.6","25.5","4.3","6.1","1.2","0.3","2.6","29.8","31.6","36","10.3","118.6","111.5"
"22","Lauri Markkanen","Uta","F-C","25.8","62","34.4","26.2","10.2","368","0.87","587","0.586","469","0.403","0.594","0.647","25.4","8.5","1.8","0.6","0.6","1.9","34","27.2","35.8","8.5","126.6","112.4"
"23","Julius Randle","Nyk","F-C","28.3","71","35.9","29.4","13.1","495","0.754","736","0.55","592","0.343","0.534","0.58","25.2","10.3","4.1","0.6","0.3","2.8","35.5","29.4","39.7","11.4","116.8","105.4"
"24","DeMar DeRozan","Chi","G-F","33.6","62","36.3","28.2","11","457","0.867","1001","0.526","104","0.337","0.524","0.595","25.1","4.5","5.1","1","0.5","2.2","29.6","30.1","34.7","9.2","118.8","109.3"
"25","Anthony Edwards","Min","G","21.6","70","36.4","29.8","14.7","378","0.767","858","0.515","519","0.368","0.529","0.566","25","6","4.5","1.6","0.7","3.4","30.9","29.4","35.4","9.6","106.2","109.9"
"26","Zach LaVine","Chi","G-F","28","64","36","28.2","12.5","364","0.849","693","0.543","466","0.382","0.555","0.605","24.9","4.8","4","0.9","0.2","2.6","29.7","28.9","33.7","8.7","115","110.7"
"27","Nikola Jokic","Den","C","28.1","62","33.9","27.2","19.2","380","0.816","795","0.672","132","0.402","0.662","0.702","24.8","11.9","9.9","1.2","0.7","3.5","36.6","34.7","46.6","16.9","135.5","105.7"
"28","Pascal Siakam","Tor","F","29","60","37.5","27.4","11.8","412","0.765","873","0.507","244","0.344","0.509","0.56","24.2","7.7","5.9","0.9","0.5","2.5","31.9","30.1","37.8","11","117","109.1"
"29","Jalen Brunson","Nyk","G","26.5","62","34.9","27","10.3","365","0.833","788","0.514","290","0.414","0.543","0.595","23.8","3.6","6.1","0.9","0.2","2","27.4","29.9","33.5","9.2","124.9","111.8"
"30","Kawhi Leonard","Lac","F","31.7","42","33.5","27","9","230","0.878","506","0.547","193","0.42","0.57","0.624","23.8","6.4","3.9","1.4","0.5","1.6","30.1","27.7","34","10","125.7","111.1"
"31","Paul George","Lac","F","32.9","53","34.6","29.3","15","276","0.877","532","0.521","408","0.375","0.539","0.591","23.7","6.1","5.2","1.4","0.3","3.1","29.8","28.9","35","10.5","113.6","107.6"
"32","Bradley Beal","Was","G","29.7","47","33.5","29.2","14.1","209","0.847","620","0.56","208","0.37","0.559","0.599","23.4","3.8","5.5","0.9","0.7","2.9","27.3","28.9","32.7","9.4","115.1","113.3"
"33","LaMelo Ball","Cha","G","21.6","36","35.2","29.9","15.2","121","0.843","338","0.45","383","0.376","0.51","0.541","23.3","6.4","8.4","1.3","0.3","3.6","29.7","31.7","38.1","12.2","108.7","108.7"
"34","Brandon Ingram","Nor","F","25.5","32","32.9","30.3","15.3","171","0.865","441","0.497","127","0.386","0.515","0.57","22.9","5","4.8","0.7","0.4","3.2","27.9","27.8","32.8","10","108.3","108.3"
"35","Kristaps Porzingis","Was","F-C","27.6","59","32.7","27.4","12","393","0.845","588","0.551","326","0.377","0.556","0.621","22.9","8.5","2.6","0.9","1.6","2.1","31.3","25.5","33.9","9.7","121.3","106"
"36","Jimmy Butler","Mia","F","33.5","56","33.3","25.8","10.7","483","0.853","690","0.551","92","0.337","0.545","0.636","22.6","6.1","5.1","1.9","0.4","1.7","28.7","27.6","33.7","10.7","133.3","110.4"
"37","Klay Thompson","Gol","G","33.1","58","32.8","26.8","8.7","121","0.876","448","0.471","614","0.41","0.555","0.576","22.1","4.1","2.4","0.7","0.4","1.7","26.2","24.6","28.7","7.3","109.8","114.2"
"38","Darius Garland","Cle","G","23.1","61","35.2","27.1","15.3","299","0.853","611","0.498","377","0.419","0.548","0.597","21.9","2.7","7.8","1.3","0.1","2.9","24.6","29.7","32.4","8.8","118.9","108.7"
